,Unnamed: 0,category,subcategory,current_price,raw_price,discount,likes_count,variation_0_color,variation_1_color,two_colors
0,0,4,153,23.99,46.99,49,313,9,1,True
1,1,4,140,15.99,40.36,60,4603,9,3,True
2,2,4,89,25.99,50.99,49,5564,2,0,True
3,3,4,109,23.99,46.99,49,1262,2,10,True
4,4,4,153,15.99,38.88,59,4485,4,1,True
5,5,4,109,33.99,70.99,52,2419,8,11,True
6,6,4,41,32.99,64.98,49,33,8,1,True
7,7,4,41,29.99,63.98,53,4132,0,2,True
8,8,4,89,21.99,47.99,54,3095,1,11,True
9,9,4,89,23.51,45.99,49,4367,3,4,True
10,10,4,140,13.99,26.89,48,14252,0,8,True
11,11,4,169,25.99,72.47,64,4393,4,9,True
12,12,4,153,19.42,39.99,51,3240,0,3,True
13,13,4,109,28.99,73.31,61,5822,4,11,True
14,14,4,9,22.99,39.58,42,1306,10,1,True
15,15,4,89,16.99,48.37,65,3486,0,1,True
16,16,4,153,17.99,39.99,55,3542,4,1,True
17,17,4,9,31.99,62.98,49,918,9,0,True
18,18,4,109,24.99,46.99,47,1730,3,11,True
19,19,4,89,27.6,52.98,48,2826,3,0,True
20,20,4,109,21.99,42.99,49,541,10,3,True
21,21,4,109,24.99,60.84,59,1690,5,2,True
22,22,4,106,26.57,48.99,46,3363,3,1,True
23,23,4,41,29.99,59.99,50,2879,4,1,True
24,24,4,9,24.99,50.99,51,5012,9,7,True
25,25,4,109,30.66,58.98,48,464,10,1,True
26,26,4,109,19.99,59.07,66,1584,1,9,True
27,27,4,9,22.99,51.99,56,4726,9,1,True
28,28,4,9,25.99,50.99,49,556,9,0,True
29,29,4,153,21.99,43.88,50,1346,4,3,True
30,30,4,153,19.99,47.99,58,2442,4,6,True
31,31,4,41,30.66,52.98,42,2170,4,3,True
32,32,4,36,19.99,64.97,69,8286,6,2,True
33,33,4,109,27.27,55.38,51,2951,6,0,True
34,34,4,89,18.99,42.2,55,1688,4,9,True
35,35,4,153,20.44,38.88,47,2094,1,10,True
36,36,4,109,15.99,41.28,61,972,8,4,True
37,37,4,40,25.99,60.97,57,3906,2,0,True
38,38,4,89,21.99,47.99,54,1147,9,1,True
39,39,4,109,28.99,56.98,49,798,10,9,True
40,40,4,36,21.99,62.2,65,3845,1,3,True
41,41,4,109,43.96,83.99,48,1573,5,13,False
42,42,4,36,18.99,44.13,57,1678,1,4,True
43,43,4,140,16.99,40.91,59,1377,2,3,True
44,44,4,140,22.99,55.64,59,932,0,2,True
45,45,4,153,23.99,47.99,50,913,3,13,False
46,46,4,153,19.99,43.99,55,2010,0,3,True
47,47,4,9,25.99,50.99,49,1112,1,13,False
48,48,4,153,23.99,46.99,49,1118,1,9,True
49,49,4,89,21.99,52.95,59,3485,2,3,True
50,50,4,153,20.44,38.88,47,1642,4,9,True
